HUD frame time nsec:,25482000

Range Index,Elapsed Time, First Event,Last Event
0,10560,1,1
1,35264,18,18
2,13248,23,23
3,672,44,44
4,4256,96,96
5,640,103,103
6,672,110,110
7,672,117,117
8,672,123,123
9,3072,175,175
10,704,182,182
11,672,189,189
12,672,196,196
13,736,202,202
14,2976,254,254
15,672,261,261
16,672,268,268
17,672,275,275
18,640,281,281
19,4480,333,333
20,736,340,340
21,1536,347,347
22,800,354,354
23,768,360,360
24,147104,372,372
25,11744,407,407
26,118880,419,419
27,21952,448,448
28,11015232,462,462
