HUD frame time nsec:,16651000

Range Index,Elapsed Time, First Event,Last Event
0,6560,1,1
1,4960,45,45
2,672,51,51
3,672,57,57
4,640,63,63
5,640,68,68
6,3808,103,103
7,768,109,109
8,672,115,115
9,672,121,121
10,672,126,126
11,3616,161,161
12,672,167,167
13,640,173,173
14,832,179,179
15,672,184,184
16,3616,219,219
17,672,225,225
18,672,231,231
19,864,237,237
20,672,242,242
21,3584,277,277
22,640,283,283
23,672,289,289
24,672,295,295
25,736,300,300
26,3584,335,335
27,640,341,341
28,672,347,347
29,640,353,353
30,672,358,358
31,3616,393,393
32,672,399,399
33,640,405,405
34,672,411,411
35,640,416,416
36,3744,451,451
37,672,457,457
38,640,463,463
39,672,469,469
40,672,474,474
41,3616,509,509
42,640,515,515
43,640,521,521
44,640,527,527
45,640,532,532
46,3584,567,567
47,672,573,573
48,672,579,579
49,672,585,585
50,928,590,590
51,3616,625,625
52,672,631,631
53,672,637,637
54,672,643,643
55,672,648,648
56,3616,683,683
57,672,689,689
58,672,695,695
59,704,701,701
60,672,706,706
61,3616,741,741
62,704,747,747
63,672,753,753
64,864,759,759
65,672,764,764
66,3616,799,799
67,640,805,805
68,640,811,811
69,672,817,817
70,640,822,822
71,3616,857,857
72,672,863,863
73,672,869,869
74,672,875,875
75,672,880,880
76,3616,915,915
77,672,921,921
78,672,927,927
79,672,933,933
80,672,938,938
81,3584,973,973
82,672,979,979
83,640,985,985
84,736,991,991
85,672,996,996
86,3616,1031,1031
87,672,1037,1037
88,672,1043,1043
89,896,1049,1049
90,672,1054,1054
91,3616,1089,1089
92,672,1095,1095
93,672,1101,1101
94,672,1107,1107
95,672,1112,1112
96,3648,1147,1147
97,672,1153,1153
98,640,1159,1159
99,672,1165,1165
100,768,1170,1170
101,3584,1205,1205
102,672,1211,1211
103,672,1217,1217
104,672,1223,1223
105,672,1228,1228
106,3616,1263,1263
107,736,1269,1269
108,736,1275,1275
109,672,1281,1281
110,640,1286,1286
111,3584,1321,1321
112,704,1327,1327
113,672,1333,1333
114,672,1339,1339
115,672,1344,1344
116,3616,1379,1379
117,672,1385,1385
118,640,1391,1391
119,672,1397,1397
120,672,1402,1402
121,3680,1437,1437
122,672,1443,1443
123,672,1449,1449
124,640,1455,1455
125,672,1460,1460
126,3616,1495,1495
127,704,1501,1501
128,672,1507,1507
129,672,1513,1513
130,672,1518,1518
131,3584,1553,1553
132,640,1559,1559
133,672,1565,1565
134,640,1571,1571
135,640,1576,1576
136,3616,1611,1611
137,640,1617,1617
138,640,1623,1623
139,672,1629,1629
140,640,1634,1634
141,3616,1669,1669
142,672,1675,1675
143,672,1681,1681
144,640,1687,1687
145,672,1692,1692
146,3584,1727,1727
147,672,1733,1733
148,672,1739,1739
149,672,1745,1745
150,672,1750,1750
151,3584,1785,1785
152,672,1791,1791
153,640,1797,1797
